NAME                                             READY   STATUS      RESTARTS       AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
otel-collector-agent-tcmqv                       2/2     Running     0              4h45m   10.0.46.28    ip-10-0-47-201.ec2.internal   <none>           <none>
otel-collector-agent-xqsqd                       2/2     Running     0              6m18s   10.0.34.84    ip-10-0-38-51.ec2.internal    <none>           <none>
payment-6cbf6456-mhzgn                           2/2     Running     0              13h     10.0.37.149   ip-10-0-37-8.ec2.internal     <none>           <none>
payment-6cbf6456-t97cb                           2/2     Running     0              6m21s   10.0.38.192   ip-10-0-38-51.ec2.internal    <none>           <none>
product-catalog-5944c56b56-kxjxn                 2/2     Running     0              13h     10.0.46.50    ip-10-0-37-8.ec2.internal     <none>           <none>
product-catalog-5944c56b56-w8dgz                 2/2     Running     0              6m10s   10.0.34.93    ip-10-0-38-51.ec2.internal    <none>           <none>
product-reviews-6d897bcdfc-2xjtk                 2/2     Running     0              13h     10.0.46.51    ip-10-0-37-8.ec2.internal     <none>           <none>
product-reviews-6d897bcdfc-pm8jx                 2/2     Running     0              4m9s    10.0.32.26    ip-10-0-47-85.ec2.internal    <none>           <none>
prometheus-77dbbd46ff-zm2r6                      1/1     Running     0              14h     10.0.27.140   ip-10-0-16-62.ec2.internal    <none>           <none>
prometheus-adapter-65876f7d48-rbnrq              1/1     Running     0              14h     10.0.46.21    ip-10-0-47-201.ec2.internal   <none>           <none>
quote-696b6b9dfc-9pqhl                           2/2     Running     0              13h     10.0.37.151   ip-10-0-37-8.ec2.internal     <none>           <none>
quote-696b6b9dfc-hsdlk                           2/2     Running     0              6m21s   10.0.34.86    ip-10-0-38-51.ec2.internal    <none>           <none>
recommendation-6bd768bcd7-kn497                  2/2     Running     0              13h     10.0.37.148   ip-10-0-37-8.ec2.internal     <none>           <none>
recommendation-6bd768bcd7-ltmz2                  2/2     Running     0              4m9s    10.0.32.24    ip-10-0-47-85.ec2.internal    <none>           <none>
recommendation-6bd768bcd7-qp9sw                  2/2     Running     0              6m10s   10.0.38.203   ip-10-0-38-51.ec2.internal    <none>           <none>
runtime-hardening-inventory-29748260-8qzjx       0/1     Completed   0              7m10s   10.0.35.221   ip-10-0-43-187.ec2.internal   <none>           <none>
runtime-hardening-inventory-29748265-dljhh       0/1     Completed   0              2m10s   10.0.35.221   ip-10-0-43-187.ec2.internal   <none>           <none>
shipping-59c9487779-4dxlj                        2/2     Running     0              13h     10.0.37.150   ip-10-0-37-8.ec2.internal     <none>           <none>
shipping-59c9487779-b64b5                        2/2     Running     0              6m20s   10.0.34.83    ip-10-0-38-51.ec2.internal    <none>           <none>
shopping-copilot-6b5fc5dcc7-hvqr2                2/2     Running     0              7h6m    10.0.37.155   ip-10-0-37-8.ec2.internal     <none>           <none>
techx-corp-kube-state-metrics-56d546bdc7-bmngs   1/1     Running     0              14h     10.0.46.27    ip-10-0-47-201.ec2.internal   <none>           <none>
