NAME                                             READY   STATUS      RESTARTS      AGE     IP            NODE                          NOMINATED NODE   READINESS GATES
llm-fb984cf87-x5n78                              1/1     Running     0             66m     10.0.18.145   ip-10-0-19-131.ec2.internal   <none>           <none>
load-generator-5ddd78664c-66pjt                  1/1     Running     0             66m     10.0.46.107   ip-10-0-36-4.ec2.internal     <none>           <none>
load-generator-worker-f47d6446-554x6             1/1     Running     0             66m     10.0.25.71    ip-10-0-19-131.ec2.internal   <none>           <none>
load-generator-worker-f47d6446-hzx4g             1/1     Running     1 (65m ago)   66m     10.0.25.68    ip-10-0-19-131.ec2.internal   <none>           <none>
load-generator-worker-f47d6446-p88q5             1/1     Running     1 (65m ago)   66m     10.0.18.146   ip-10-0-19-131.ec2.internal   <none>           <none>
metrics-server-56f6f67555-zcd64                  1/1     Running     1 (29h ago)   29h     10.0.40.1     ip-10-0-36-4.ec2.internal     <none>           <none>
opensearch-0                                     1/1     Running     0             66m     10.0.33.0     ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-4xbkd                       1/1     Running     0             2d13h   10.0.40.0     ip-10-0-36-4.ec2.internal     <none>           <none>
otel-collector-agent-fs7gc                       1/1     Running     0             75m     10.0.25.65    ip-10-0-19-131.ec2.internal   <none>           <none>
otel-collector-agent-s8znc                       1/1     Running     0             84m     10.0.28.179   ip-10-0-29-106.ec2.internal   <none>           <none>
otel-collector-agent-vns6d                       1/1     Running     0             83m     10.0.36.132   ip-10-0-46-180.ec2.internal   <none>           <none>
otel-collector-agent-x7l6h                       1/1     Running     0             2d1h    10.0.26.132   ip-10-0-27-114.ec2.internal   <none>           <none>
payment-84bb7fb544-bk55w                         1/1     Running     0             66m     10.0.28.191   ip-10-0-29-106.ec2.internal   <none>           <none>
payment-84bb7fb544-ljq5l                         1/1     Running     0             66m     10.0.40.80    ip-10-0-46-180.ec2.internal   <none>           <none>
product-catalog-6f9ddc65c7-8r924                 0/1     Pending     0             32m     <none>        <none>                        <none>           <none>
product-catalog-6f9ddc65c7-fps4b                 1/1     Running     0             66m     10.0.36.141   ip-10-0-46-180.ec2.internal   <none>           <none>
product-catalog-6f9ddc65c7-g67wg                 1/1     Running     0             66m     10.0.29.113   ip-10-0-29-106.ec2.internal   <none>           <none>
product-catalog-6f9ddc65c7-sshs8                 0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
product-reviews-6bddc4b58b-brqcn                 0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
product-reviews-6bddc4b58b-v8lwc                 1/1     Running     0             66m     10.0.36.138   ip-10-0-46-180.ec2.internal   <none>           <none>
product-reviews-6bddc4b58b-wdbp6                 1/1     Running     0             64m     10.0.28.178   ip-10-0-29-106.ec2.internal   <none>           <none>
prometheus-795bcb887b-vt6xv                      1/1     Running     0             29h     10.0.26.142   ip-10-0-27-114.ec2.internal   <none>           <none>
prometheus-adapter-cfff85f69-mbr8q               1/1     Running     0             29h     10.0.46.101   ip-10-0-36-4.ec2.internal     <none>           <none>
quote-d56988f78-l59m4                            1/1     Running     0             66m     10.0.36.139   ip-10-0-46-180.ec2.internal   <none>           <none>
quote-d56988f78-sdgv8                            1/1     Running     0             61m     10.0.28.176   ip-10-0-29-106.ec2.internal   <none>           <none>
recommendation-5d4ff5579c-jdrmw                  0/1     Pending     0             10m     <none>        <none>                        <none>           <none>
recommendation-5d4ff5579c-pln62                  1/1     Running     0             66m     10.0.36.142   ip-10-0-46-180.ec2.internal   <none>           <none>
recommendation-5d4ff5579c-wj7bx                  1/1     Running     0             66m     10.0.29.114   ip-10-0-29-106.ec2.internal   <none>           <none>
runtime-hardening-inventory-29743445-hjqmq       0/1     Completed   0             5m49s   10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
runtime-hardening-inventory-29743450-tvzq9       0/1     Completed   0             49s     10.0.46.97    ip-10-0-36-4.ec2.internal     <none>           <none>
shipping-74bbb65d6d-2qk78                        1/1     Running     0             66m     10.0.43.64    ip-10-0-46-180.ec2.internal   <none>           <none>
shipping-74bbb65d6d-6xtd8                        1/1     Running     0             61m     10.0.28.177   ip-10-0-29-106.ec2.internal   <none>           <none>
shopping-copilot-7c8dcc9b48-98thd                1/1     Running     0             66m     10.0.25.69    ip-10-0-19-131.ec2.internal   <none>           <none>
techx-corp-kube-state-metrics-56c7fd85b9-dvx4r   1/1     Running     0             29h     10.0.26.131   ip-10-0-27-114.ec2.internal   <none>           <none>
